structure,organization,numid,block_admin,block_peda
large,0721364S,1,10.72.45.0/24,172.17.0.0/21
large,0720015A,2,10.72.40.0/24,172.17.8.0/21
large,0721363R,3,10.72.53.0/24,172.17.16.0/21
large,0720989J,4,10.72.76.0/24,172.17.24.0/21
normal,0720905T,5,10.72.48.0/24,172.17.32.0/22
normal,0721043T,6,10.72.42.0/24,172.17.36.0/22
normal,0720906U,7,10.72.41.0/24,172.17.40.0/22
normal,0720070K,8,10.72.75.0/24,172.17.44.0/22
normal,0720067G,9,10.72.38.0/24,172.17.48.0/22
normal,0721042S,10,10.72.80.0/24,172.17.52.0/22
normal,0720001K,11,10.72.26.0/24,172.17.56.0/22
normal,0720023J,12,10.72.46.0/24,172.17.60.0/22
normal,0720847E,13,10.72.73.0/24,172.17.64.0/22
normal,0720069J,14,10.72.68.0/24,172.17.68.0/22
normal,0720040C,15,10.72.55.0/24,172.17.72.0/22
normal,0720799C,16,10.72.60.0/24,172.17.76.0/22
normal,0721093X,17,10.72.33.0/24,172.17.80.0/22
normal,0720798B,18,10.72.59.0/24,172.17.84.0/22
normal,0720062B,19,10.72.47.0/24,172.17.88.0/22
normal,0720986F,20,10.72.52.0/24,172.17.92.0/22
normal,0721263G,21,10.72.67.0/24,172.17.96.0/22
normal,0720024K,22,10.72.66.0/24,172.17.100.0/22
normal,0720007S,23,10.72.34.0/24,172.17.104.0/22
normal,0721090U,24,10.72.64.0/24,172.17.108.0/22
normal,0721226S,25,10.72.50.0/24,172.17.112.0/22
normal,0720902P,26,10.72.51.0/24,172.17.116.0/22
normal,0720903R,27,10.72.29.0/24,172.17.120.0/22
normal,0721225R,28,10.72.82.0/24,172.17.124.0/22
normal,0720058X,29,10.72.81.0/24,172.17.128.0/22
normal,0720038A,30,10.72.54.0/24,172.17.132.0/22
normal,0721086P,31,10.72.36.0/24,172.17.136.0/22
normal,0720014Z,32,10.72.39.0/24,172.17.140.0/22
normal,0720046J,33,10.72.71.0/24,172.17.144.0/22
normal,0721262F,34,10.72.65.0/24,172.17.148.0/22
normal,0720800D,35,10.72.61.0/24,172.17.152.0/22
normal,0721281B,36,10.72.72.0/24,172.17.156.0/22
normal,0720002L,37,10.72.28.0/24,172.17.160.0/22
normal,0721304B,38,10.72.74.0/24,172.17.164.0/22
normal,0721477P,39,10.72.37.0/24,172.17.168.0/22
normal,0720004N,40,10.72.30.0/24,172.17.172.0/22
normal,0720797A,41,10.72.58.0/24,172.17.176.0/22
normal,0720081X,42,10.72.57.0/24,172.17.180.0/22
normal,0721224P,43,10.72.27.0/24,172.17.184.0/22
normal,0720068H,44,10.72.56.0/24,172.17.188.0/22
normal,0720019E,45,10.72.43.0/24,172.17.192.0/22
normal,0720904S,46,10.72.31.0/24,172.17.196.0/22
normal,0721044U,47,10.72.49.0/24,172.17.200.0/22
normal,0720988H,48,10.72.70.0/24,172.17.204.0/22
normal,0720987G,49,10.72.63.0/24,172.17.212.0/22
normal,0721483W,50,10.72.35.0/24,172.17.216.0/22
normal,0720011W,51,10.72.44.0/24,172.17.220.0/22
normal,0720053S,52,10.72.79.0/24,172.17.224.0/22
normal,0720885W,53,10.72.62.0/24,172.17.228.0/22
normal,0720051P,54,10.72.78.0/24,172.17.232.0/22
normal,0720043F,55,10.72.69.0/24,172.17.236.0/22
normal,0721089T,56,10.72.32.0/24,172.17.240.0/22
,0721607F,57,,
,0721365T,58,,
